Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,Plunge P,Plunge S,Ratio1,Ratio2,Ratio3,Sum
50,0,-50,0.965732402857,0.976200672745,0.594697105376,0.609195549624,0.989276518467,1.62390634514,38.566721247,40.001716636,0.0158521702284,0.00253496526487,0.00603860254922,0.0244257380425
50,0,-30,0.953089505941,0.963420730351,0.914535470604,0.94925865906,0.989276518467,1.04215696009,38.566721247,40.001716636,0.007450111654,0.00253496526487,0.0182503259683,0.0282354028872
50,60,30,0.955545634679,0.812474908948,0.970631415074,1.19466017274,1.17609248502,0.984457766192,38.566721247,40.001716636,0.0403226172723,0.00128075431607,0.0267538380943,0.0683572096826
50,60,50,0.987644134053,0.652870441709,0.704628401866,1.07927753632,1.51277201564,1.40165246169,38.566721247,40.001716636,0.0226346707792,0.0244436071623,9.94471692182e-05,0.0471777251107
50,70,70,0.94328567583,0.993194145069,1.00017698288,1.00703068766,0.949749533375,0.943118759952,38.566721247,40.001716636,0.0134194301222,0.00500201474312,0.0342246281799,0.0526460730453
50,75,40,0.93384507745,1.26820941824,0.902168788367,0.711372093121,0.73634926852,1.03511126686,38.566721247,40.001716636,0.00299661849035,0.0382784391657,0.0191775818196,0.0604526394756
55,0,-50,0.950437955046,0.960740437385,0.967887072168,1.00743867387,0.989276518467,0.98197194939,38.566721247,40.001716636,0.0134663924952,0.00253496526487,0.027168912909,0.0431702706691
55,0,-30,0.967331448593,0.97781705169,0.540517665093,0.552779954244,0.989276518467,1.78963891666,38.566721247,40.001716636,0.0282521932337,0.00253496526487,0.0144266597263,0.0452138182249
55,55,20,0.926652282781,1.338359559,0.813064014554,0.60750790704,0.692379171613,1.13970396696,38.566721247,40.001716636,0.0161638613334,0.0505184188299,0.008196670782,0.0748789509453
55,55,50,0.975815758216,0.883426875999,0.803475778472,0.90949890738,1.10458011266,1.21449306172,38.566721247,40.001716636,0.00422233332398,2.20241450547e-05,0.00350187290321,0.00774623037224
55,65,60,0.972992476755,0.813952531795,0.657793799986,0.808147618308,1.19539216201,1.47917550572,38.566721247,40.001716636,4.39619399694e-05,0.00191925435045,0.00123845896279,0.0032016752532
55,70,40,0.956809554012,0.859764178353,1.00509407487,1.16903460295,1.1128744115,0.951960197489,38.566721247,40.001716636,0.0361428989189,7.07890805469e-05,0.0325226146094,0.0687363026088
60,0,-40,0.965732402857,0.976200672745,0.594697105376,0.609195549624,0.989276518467,1.62390634514,38.566721247,40.001716636,0.0158521702284,0.00253496526487,0.00603860254922,0.0244257380425
60,0,-20,0.953089505941,0.963420730351,0.914535470604,0.94925865906,0.989276518467,1.04215696009,38.566721247,40.001716636,0.007450111654,0.00253496526487,0.0182503259683,0.0282354028872
60,5,-20,0.946344820939,1.37697932392,0.698065777475,0.506954436679,0.687261460287,1.35566711831,38.566721247,40.001716636,0.0415602233796,0.0520892347527,3.46027943304e-05,0.0936840609267
60,45,20,0.95264144781,1.00119906475,1.04714971161,1.04589561504,0.951500537053,0.909747132857,38.566721247,40.001716636,0.0181625501601,0.00487275581495,0.0411919968424,0.0642273028175
60,50,20,0.950338431252,1.14001647966,0.592379937601,0.519624012609,0.833618152202,1.60427180417,38.566721247,40.001716636,0.0375722506715,0.0183466124765,0.00522184112743,0.0611407042755
60,50,50,0.960696779121,1.05109821604,0.926362011285,0.881327736218,0.91399334949,1.03706409311,38.566721247,40.001716636,0.00243480241694,0.00807542141709,0.0189176185978,0.0294278424318
60,65,30,0.935669423925,1.07686237358,0.950100933473,0.882286313256,0.868884870414,0.984810551132,38.566721247,40.001716636,0.00248831125374,0.0132249909528,0.0266952730797,0.0424085752863
65,0,-40,0.950437955046,0.960740437385,0.967887072168,1.00743867387,0.989276518467,0.98197194939,38.566721247,40.001716636,0.0134663924952,0.00253496526487,0.027168912909,0.0431702706691
65,0,-20,0.967331448593,0.97781705169,0.540517665093,0.552779954244,0.989276518467,1.78963891666,38.566721247,40.001716636,0.0282521932337,0.00253496526487,0.0144266597263,0.0452138182249
65,5,-10,0.938257879473,1.23384759529,1.05683554737,0.856536537738,0.760432555085,0.887799319212,38.566721247,40.001716636,0.0012402883317,0.0324761603522,0.0462675770437,0.0799840257276
65,35,10,0.938245860552,1.41165615963,0.868407813284,0.615169499568,0.664641920165,1.08042079562,38.566721247,40.001716636,0.014776827579,0.0594172139516,0.0137118007958,0.0879058423264
65,40,20,0.967360728445,0.837935437915,0.869903865716,1.03815142117,1.15445735396,1.11203176186,38.566721247,40.001716636,0.0171755970963,0.00070818274978,0.0105553654729,0.028439145319
65,45,50,0.944099841128,1.15685457817,1.06807738253,0.923259848462,0.81609206459,0.883924570044,38.566721247,40.001716636,0.00525035315892,0.0212808475043,0.0472062637428,0.073737464406
65,55,20,0.932997850557,1.18684517613,0.547343268774,0.46117495338,0.786115888844,1.70459363216,38.566721247,40.001716636,0.0580573135731,0.0269414509261,0.00982446251482,0.094823227014
65,55,30,0.980076871572,0.53579166276,0.491785935936,0.917867839529,1.82921262067,1.99289324878,38.566721247,40.001716636,0.00483590559702,0.0576706194652,0.0270901866876,0.0895967117498
65,60,60,0.94393768203,1.13618207492,0.991288235634,0.872473045926,0.830797900147,0.952233314286,38.566721247,40.001716636,0.00196586678144,0.0188007761249,0.0324709653051,0.0532376082114
70,0,-30,0.965732402857,0.976200672745,0.594697105376,0.609195549624,0.989276518467,1.62390634514,38.566721247,40.001716636,0.0158521702284,0.00253496526487,0.00603860254922,0.0244257380425
70,0,-10,0.953089505941,0.963420730351,0.914535470604,0.94925865906,0.989276518467,1.04215696009,38.566721247,40.001716636,0.007450111654,0.00253496526487,0.0182503259683,0.0282354028872
70,5,-30,0.932160588009,1.39485865266,0.87730054668,0.628953008973,0.668283188575,1.06253277914,38.566721247,40.001716636,0.0124594786916,0.0581943787198,0.0157314377655,0.0863852951769
70,5,-10,0.955256894405,1.2227962315,0.656364052245,0.53677304144,0.781206933579,1.4553766178,38.566721247,40.001716636,0.0325540613286,0.0279490726576,0.000764151725465,0.0612672857116
70,15,0,0.94246936761,1.38681627896,0.906861620982,0.653916192604,0.679592085776,1.03926480711,38.566721247,40.001716636,0.00882389382063,0.0545027964046,0.0186273829053,0.0819540731306
70,25,10,0.95187395209,1.16085877546,0.994480067213,0.856676185113,0.81997394706,0.957157396586,38.566721247,40.001716636,0.00124596806371,0.0206077333392,0.0315491871488,0.0534028885517
70,30,10,0.955494893392,1.22715821069,0.652609755218,0.531805719536,0.778624047879,1.46411371536,38.566721247,40.001716636,0.0339634164335,0.0284886348559,0.000926225068626,0.063378276358
70,35,20,0.977105630553,0.685064769959,0.733995644972,1.07142518074,1.42629671441,1.3312144796,38.566721247,40.001716636,0.0215522280879,0.016632098061,0.000213180279313,0.0383975064282
70,45,50,0.959795014507,1.14359269656,0.533277573053,0.46631774989,0.839280468816,1.79980382264,38.566721247,40.001716636,0.0560355593857,0.0174552184893,0.0150109547601,0.0885017326351
70,50,20,0.949908624273,0.903005882056,0.700899607616,0.776184985661,1.05194068294,1.35527058933,38.566721247,40.001716636,0.000169232625206,0.00038613412113,3.62665308145e-05,0.000591633277151
70,55,50,0.972400559434,0.836590440453,0.909764392373,1.08746687552,1.16233764147,1.06884877842,38.566721247,40.001716636,0.0237824875086,0.000898599352819,0.0149983314298,0.0396794182912
