Strike,Dip,Rake,P,SV,SH,SH/SV,P/SV,P/SH,source
0,20,-90,0.224875336875,3.3852465971,3.51261787261,1.03762540538,0.0664280519674,0.0640192998584,S0325ab_DWAK_10.csv
0,20,90,0.224875336875,3.3852465971,3.51261787261,1.03762540538,0.0664280519674,0.0640192998584,S0325ab_DWAK_10.csv
1,20,-90,0.237686695346,3.42801400443,3.46812508824,1.01170096848,0.0693365590221,0.0685346373903,S0325ab_DWAK_10.csv
1,20,90,0.237686695346,3.42801400443,3.46812508824,1.01170096848,0.0693365590221,0.0685346373903,S0325ab_DWAK_10.csv
1,45,0,0.713266976454,2.56904050138,2.43233220633,0.946786243745,0.277639444014,0.293244062056,S0325ab_DWAK_10.csv
2,20,-90,0.250327552115,3.47050181912,3.42153909251,0.985891744434,0.0721300737362,0.0731622656781,S0325ab_DWAK_10.csv
2,20,90,0.250327552115,3.47050181912,3.42153909251,0.985891744434,0.0721300737362,0.0731622656781,S0325ab_DWAK_10.csv
2,45,0,0.703944431982,2.55232307387,2.55660908957,1.00167926065,0.275805378711,0.275343006036,S0325ab_DWAK_10.csv
2,80,45,0.255314369536,2.43365477233,2.19462325967,0.901780846085,0.104909855103,0.116336308937,S0325ab_DWAK_10.csv
2,80,45,0.255314369536,2.43365477233,2.19462325967,0.901780846085,0.104909855103,0.116336308937,S0325ab_DWAK_10.csv
3,20,-90,0.262790443796,3.51266882407,3.37287684458,0.960203484447,0.0748121889531,0.0779128488543,S0325ab_DWAK_10.csv
3,20,90,0.262790443796,3.51266882407,3.37287684458,0.960203484447,0.0748121889531,0.0779128488543,S0325ab_DWAK_10.csv
3,45,0,0.694180072211,2.53304860927,2.6798929581,1.05797139,0.274049250247,0.259032761034,S0325ab_DWAK_10.csv
3,80,45,0.263705471424,2.42593486847,2.24967119625,0.9273419602,0.108702618051,0.117219561625,S0325ab_DWAK_10.csv
3,80,45,0.263705471424,2.42593486847,2.24967119625,0.9273419602,0.108702618051,0.117219561625,S0325ab_DWAK_10.csv
40,20,45,0.442901385289,3.35772059204,3.48678041978,1.03843673832,0.131905372454,0.127023021804,S0325ab_DWAK_10.csv
40,20,45,0.442901385289,3.35772059204,3.48678041978,1.03843673832,0.131905372454,0.127023021804,S0325ab_DWAK_10.csv
40,45,45,0.146190467679,4.15640923022,3.77501942085,0.908240553746,0.0351722988718,0.0387257524747,S0325ab_DWAK_10.csv
40,45,45,0.146190467679,4.15640923022,3.77501942085,0.908240553746,0.0351722988718,0.0387257524747,S0325ab_DWAK_10.csv
45,45,45,0.217246164739,3.87114899227,4.01812007289,1.03796575149,0.0561192982169,0.0540666184181,S0325ab_DWAK_10.csv
45,45,45,0.217246164739,3.87114899227,4.01812007289,1.03796575149,0.0561192982169,0.0540666184181,S0325ab_DWAK_10.csv
45,80,-100,0.985248955198,0.675976082076,0.703370965969,1.04052641006,1.45752043796,1.40075294954,S0325ab_DWAK_10.csv
50,0,-100,0.920480816557,1.22317280798,1.20092303902,0.981809791052,0.752535382206,0.766477773051,S0325ab_DWAK_10.csv
85,20,-90,0.270424815244,3.53863325336,3.34167174645,0.944339666529,0.0764206957551,0.080925008727,S0325ab_DWAK_10.csv
85,20,90,0.270424815244,3.53863325336,3.34167174645,0.944339666529,0.0764206957551,0.080925008727,S0325ab_DWAK_10.csv
85,45,0,0.687905965456,2.5198197905,2.75577900204,1.0936413042,0.272998080279,0.249623052119,S0325ab_DWAK_10.csv
90,20,-90,0.206929592425,3.32584497189,3.57055291733,1.0735776765,0.062218652455,0.0579544953446,S0325ab_DWAK_10.csv
90,20,90,0.206929592425,3.32584497189,3.57055291733,1.0735776765,0.062218652455,0.0579544953446,S0325ab_DWAK_10.csv
100,20,0,0.854697088049,1.86723319784,1.91120362869,1.02354844103,0.457734518129,0.447203571205,S0325ab_DWAK_10.csv
100,20,100,0.216828898265,3.17216710957,3.47767584593,1.09630915579,0.0683535547704,0.0623487949627,S0325ab_DWAK_10.csv
100,70,-90,0.756218946718,1.79465292735,1.75147259149,0.975939450352,0.42137336707,0.43176179313,S0325ab_DWAK_10.csv
100,70,90,0.756218946718,1.79465292735,1.75147259149,0.975939450352,0.42137336707,0.43176179313,S0325ab_DWAK_10.csv
140,60,-90,0.509487703854,2.48237746412,2.51160334551,1.01177334302,0.205241834176,0.20285356952,S0325ab_DWAK_10.csv
140,60,90,0.509487703854,2.48237746412,2.51160334551,1.01177334302,0.205241834176,0.20285356952,S0325ab_DWAK_10.csv
150,0,0,0.920480816557,1.22317280798,1.20092303902,0.981809791052,0.752535382206,0.766477773051,S0325ab_DWAK_10.csv
150,60,-90,0.40822446351,2.74285412557,2.93505841614,1.07007455802,0.148831999377,0.139085634979,S0325ab_DWAK_10.csv
150,60,90,0.40822446351,2.74285412557,2.93505841614,1.07007455802,0.148831999377,0.139085634979,S0325ab_DWAK_10.csv
160,20,-100,0.804074959292,1.60638754037,1.69918336734,1.0577667746,0.500548553249,0.47321258832,S0325ab_DWAK_10.csv
160,45,45,0.702886594865,2.83208032467,3.04315443327,1.0745297041,0.248187379694,0.230973028243,S0325ab_DWAK_10.csv
160,45,45,0.702886594865,2.83208032467,3.04315443327,1.0745297041,0.248187379694,0.230973028243,S0325ab_DWAK_10.csv
160,60,-90,0.295127769349,3.12146419979,3.19738212755,1.02432125531,0.0945478629447,0.0923029395849,S0325ab_DWAK_10.csv
160,60,90,0.295127769349,3.12146419979,3.19738212755,1.02432125531,0.0945478629447,0.0923029395849,S0325ab_DWAK_10.csv
160,60,100,0.257370057029,2.8484010354,2.64970932647,0.930244475249,0.0903559765043,0.0971314304017,S0325ab_DWAK_10.csv
160,90,0,0.276182699856,2.16145931345,2.2073838329,1.02124699696,0.127776034523,0.125117659983,S0325ab_DWAK_10.csv
0,70,100,0.908143678067,1.45808910881,1.0185257339,0.698534628471,0.622831398014,0.891625658384,S0325ab_DWAK_10.csv
0,80,-100,0.709357270529,1.06733209121,2.38563094327,2.23513465296,0.664607835156,0.297345770321,S0325ab_DWAK_10.csv
1,70,100,0.91215779781,1.47865026249,0.954641528518,0.645616852569,0.616885426494,0.955497713603,S0325ab_DWAK_10.csv
1,80,-100,0.718422152816,1.06820653509,2.35744523169,2.20691893773,0.672549857371,0.304746062882,S0325ab_DWAK_10.csv
2,70,100,0.915938061532,1.49992576659,0.891518654779,0.594375184852,0.610655595054,1.02739079729,S0325ab_DWAK_10.csv
2,80,-100,0.72737474129,1.0687247213,2.32905211965,2.17928159912,0.680600651219,0.31230505112,S0325ab_DWAK_10.csv
3,70,100,0.919487016195,1.52188019547,0.829191965809,0.544847070273,0.60417831767,1.10889523067,S0325ab_DWAK_10.csv
50,90,45,0.722058150628,1.27994968694,2.14026949389,1.67215126949,0.564130104486,0.337367865444,S0325ab_DWAK_10.csv
50,90,45,0.722058150628,1.27994968694,2.14026949389,1.67215126949,0.564130104486,0.337367865444,S0325ab_DWAK_10.csv
85,45,45,0.799865252405,1.29911299356,3.18488653005,2.45158546319,0.615701064011,0.251144034445,S0325ab_DWAK_10.csv
85,45,45,0.799865252405,1.29911299356,3.18488653005,2.45158546319,0.615701064011,0.251144034445,S0325ab_DWAK_10.csv
85,70,-100,0.92157237061,1.53581711434,0.790963937034,0.51501180033,0.600053458192,1.16512564917,S0325ab_DWAK_10.csv
85,80,45,0.90883346353,1.59281857097,0.718370321558,0.451005742054,0.570581910642,1.26513225318,S0325ab_DWAK_10.csv
85,80,45,0.90883346353,1.59281857097,0.718370321558,0.451005742054,0.570581910642,1.26513225318,S0325ab_DWAK_10.csv
